stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13663] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13667] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13669] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13671] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13674] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13676] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13678] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13679] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13687] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13690] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13693] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13694] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13697] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13698] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13700] Single Buffer requirement not met.
