stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.18239] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18248] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18257] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18266] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18276] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18292] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18304] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18322] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18337] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18345] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18354] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18363] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18379] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18387] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18395] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18403] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18412] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18419] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18430] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18440] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18450] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18461] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18469] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18479] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18486] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18496] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18505] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18515] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18530] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18540] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18550] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18562] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18572] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18583] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18593] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18602] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18609] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18619] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18628] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18636] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18645] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18655] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18664] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18674] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18684] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18693] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18701] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18709] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18717] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18731] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18751] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18759] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18770] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18779] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18786] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18795] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18805] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18823] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18831] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18841] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18849] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18858] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18875] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18883] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18892] Score is : 589
